Natlanguage_query,SQL_query
CS01 Care site place of service counts,"SELECT
    cs.place_of_service_concept_id,
    COUNT(*) AS places_of_service_count
FROM cdm.care_site AS cs
GROUP BY cs.place_of_service_concept_id
ORDER BY cs.place_of_service_concept_id
;"
CS02 Patient count per care site place of service.,"SELECT
    cs.place_of_service_concept_id,
    COUNT(*) AS num_patients
FROM cdm.care_site AS cs
    JOIN cdm.person AS p ON p.care_site_id = cs.care_site_id
GROUP BY cs.place_of_service_concept_id
ORDER BY cs.place_of_service_concept_id
;"
CE01 Min/max/average length of condition," WITH descendant_concepts AS  (
SELECT DISTINCT ca.descendant_concept_id, c.concept_name
  FROM cdm.concept_ancestor ca
  JOIN cdm.concept c
    ON c.concept_id = ca.descendant_concept_id
 WHERE c.concept_code = '161891005'  /* SNOMED concept code for back pain */
), surgery as (
SELECT p.person_id,
       p.procedure_date,
       1 AS surgery
  FROM cdm.procedure_occurrence p
  JOIN cdm.concept c
    ON c.concept_id = p.procedure_concept_id
 WHERE c.vocabulary_id = 'CPT4'
   AND c.concept_code IN( '22851','20936','22612','22523','22630','22614',
                          '22842','22632','20930','22524','27130','22525' )
), drug as (
SELECT p.person_id,
       p.procedure_date AS drug_date,
       1 AS drug
  FROM cdm.procedure_occurrence p
  JOIN cdm.concept c
    ON c.concept_id = p.procedure_concept_id
 WHERE c.vocabulary_id = 'CPT4'
   AND c.concept_code IN ('20610','20552','207096','20553','20550','20605' ,'20551','20600','23350')
 UNION
SELECT person_id,
       drug_era_start_date,
       1
  FROM cdm.drug_era
 WHERE drug_concept_id IN (1125315, 778711, 1115008, 1177480, 1112807, 1506270)
), pt as (
SELECT p.person_id,
       p.procedure_date AS pt_date,
       1 AS pt
  FROM cdm.procedure_occurrence p
  JOIN cdm.concept c
    ON c.concept_id = p.procedure_concept_id
 WHERE c.vocabulary_id = 'CPT4'
   AND c.concept_code IN ('97001', '97140', '97002')
 UNION
SELECT p.person_id,
       p.procedure_date AS pt_date,
       1 AS pt
  FROM cdm.procedure_occurrence p
  JOIN cdm.concept c
    ON c.concept_id = p.procedure_concept_id
 WHERE c.vocabulary_id = 'HCPCS'
   AND c.concept_code = 'G0283'
), era_data as (
SELECT era.person_id,
       era.condition_era_start_date AS diag_date ,
       DATEDIFF(d,era.condition_era_start_date,era.condition_era_end_date) AS condition_days,
       ISNULL(drug,0) AS drug,
       ISNULL(surgery,0) AS surgery ,
       ISNULL(pt,0) AS pt
  FROM cdm.condition_era era
  JOIN descendant_concepts dc
    ON dc.descendant_concept_id = era.condition_concept_id
  LEFT JOIN surgery s
    ON s.person_id = era.person_id
   AND (s.procedure_date >= era.condition_era_start_date AND s.procedure_date <= DATEADD(d,60,era.condition_era_start_date))
  LEFT JOIN drug d
    ON d.person_id = era.person_id
   AND (d.drug_date >= era.condition_era_start_date AND d.drug_date <= DATEADD(d,60,era.condition_era_start_date))
  LEFT JOIN pt
    ON pt.person_id = era.person_id
   AND (pt.pt_date >= era.condition_era_start_date AND pt.pt_date <= DATEADD(d,60,era.condition_era_start_date))
)  
SELECT treatment,
       COUNT(*)            AS count_value,
       MIN(condition_days) AS min_condition_days,
       MAX(condition_days) AS max_condition_days,
       AVG(condition_days) AS avg_condition_days
  FROM (
SELECT person_id,
       diag_date ,
       CASE WHEN MAX(surgery) = 1 THEN 'Surgery'
            WHEN MAX(drug)    = 1 AND MAX(pt)  = 1 THEN 'PT Rx'
            WHEN MAX(drug)    = 1 THEN 'Rx Only'
            ELSE 'No Treatment'
       END AS treatment,            
       MAX(condition_days) AS condition_days
  FROM era_data
 GROUP BY person_id, diag_date
       ) TMP
 GROUP BY treatment
 ORDER BY treatment;"
CE02 Age/gender of patients with condition,"WITH hip_fracture AS (
SELECT DISTINCT ca.descendant_concept_id
  FROM cdm.concept c
  JOIN cdm.concept_ancestor ca
    ON ca.ancestor_concept_id = c.concept_id
 WHERE c.concept_code = '359817006'  
)
SELECT gender,
       age,
       COUNT(*) AS num_patients
  FROM (
SELECT DISTINCT p.person_id,
                c.concept_name  AS gender,
                YEAR(ce.condition_era_start_date) - p.year_of_birth AS age
  FROM cdm.condition_era ce
  JOIN hip_fracture hf  
    ON hf.descendant_concept_id = ce.condition_concept_id
  JOIN cdm.person p
    ON p.person_id = ce.person_id
  JOIN cdm.concept c
    ON c.concept_id = p.gender_concept_id
       ) TMP
 GROUP BY gender, age
 ORDER BY gender, age;"
"CE03 Min/max, average length of condition stratified by age/gender","WITH hip_fracture  AS (
SELECT DISTINCT ca.descendant_concept_id
  FROM cdm.concept c
  JOIN cdm.concept_ancestor ca
    ON ca.ancestor_concept_id = c.concept_id
 WHERE c.concept_code = '359817006'
), people_with_hip_fracture AS (
SELECT DISTINCT
       p.person_id,
       c.concept_name AS gender,
       YEAR(ce.condition_era_start_date) - p.year_of_birth AS age,
       DATEDIFF(d,ce.condition_era_start_date,ce.condition_era_end_date) + 1 AS duration,
       (YEAR(ce.condition_era_start_date) - p.year_of_birth)/10 AS age_grp
  FROM cdm.condition_era ce
  JOIN hip_fracture hf  
    ON hf.descendant_concept_id = ce.condition_concept_id
  JOIN cdm.person p
    ON p.person_id = ce.person_id
  JOIN cdm.concept c
    ON c.concept_id = p.gender_concept_id
)
SELECT gender,
       CASE
         WHEN age_grp = 0 THEN '0-9'
         WHEN age_grp = 1 THEN '10-19'
         WHEN age_grp = 2 THEN '20-29'
         WHEN age_grp = 3 THEN '30-39'
         WHEN age_grp = 4 THEN '40-49'
         WHEN age_grp = 5 THEN '50-59'
         WHEN age_grp = 6 THEN '60-69'
         WHEN age_grp = 7 THEN '70-79'
         WHEN age_grp = 8 THEN '80-89'
         WHEN age_grp = 9 THEN '90-99'
         WHEN age_grp > 9 THEN '100+'
       END           AS age_grp,
       COUNT(*)      AS num_patients,
       MIN(duration) AS min_duration_count,
       MAX(duration) AS max_duration_count,
       AVG(duration) AS avg_duration_count
  FROM people_with_hip_fracture
 GROUP BY gender, age_grp
 ORDER BY gender, age_grp;"
"CE04 Conditions, stratified by year, age group and gender","WITH age_age_grp (age, age_grp) AS (
SELECT 1, '0 to 9' UNION ALL
SELECT 2, '0 to 9' UNION ALL
SELECT 3, '0 to 9' UNION ALL
SELECT 4, '0 to 9' UNION ALL
SELECT 5, '0 to 9' UNION ALL
SELECT 6, '0 to 9' UNION ALL
SELECT 7, '0 to 9' UNION ALL
SELECT 8, '0 to 9' UNION ALL
SELECT 9, '0 to 9' UNION ALL
SELECT 10, '10 to 19' UNION ALL
SELECT 11, '10 to 19' UNION ALL
SELECT 12, '10 to 19' UNION ALL
SELECT 13, '10 to 19' UNION ALL
SELECT 14, '10 to 19' UNION ALL
SELECT 15, '10 to 19' UNION ALL
SELECT 16, '10 to 19' UNION ALL
SELECT 17, '10 to 19' UNION ALL
SELECT 18, '10 to 19' UNION ALL
SELECT 19, '10 to 19' UNION ALL
SELECT 20, '20 to 29' UNION ALL
SELECT 21, '20 to 29' UNION ALL
SELECT 22, '20 to 29' UNION ALL
SELECT 23, '20 to 29' UNION ALL
SELECT 24, '20 to 29' UNION ALL
SELECT 25, '20 to 29' UNION ALL
SELECT 26, '20 to 29' UNION ALL
SELECT 27, '20 to 29' UNION ALL
SELECT 28, '20 to 29' UNION ALL
SELECT 29, '20 to 29' UNION ALL
SELECT 30, '30 to 39' UNION ALL
SELECT 31, '30 to 39' UNION ALL
SELECT 32, '30 to 39' UNION ALL
SELECT 33, '30 to 39' UNION ALL
SELECT 34, '30 to 39' UNION ALL
SELECT 35, '30 to 39' UNION ALL
SELECT 36, '30 to 39' UNION ALL
SELECT 37, '30 to 39' UNION ALL
SELECT 38, '30 to 39' UNION ALL
SELECT 39, '30 to 39' UNION ALL
SELECT 40, '40 to 49' UNION ALL
SELECT 41, '40 to 49' UNION ALL
SELECT 42, '40 to 49' UNION ALL
SELECT 43, '40 to 49' UNION ALL
SELECT 44, '40 to 49' UNION ALL
SELECT 45, '40 to 49' UNION ALL
SELECT 46, '40 to 49' UNION ALL
SELECT 47, '40 to 49' UNION ALL
SELECT 48, '40 to 49' UNION ALL
SELECT 49, '40 to 49' UNION ALL
SELECT 50, '50 to 59' UNION ALL
SELECT 51, '50 to 59' UNION ALL
SELECT 52, '50 to 59' UNION ALL
SELECT 53, '50 to 59' UNION ALL
SELECT 54, '50 to 59' UNION ALL
SELECT 55, '50 to 59' UNION ALL
SELECT 56, '50 to 59' UNION ALL
SELECT 57, '50 to 59' UNION ALL
SELECT 58, '50 to 59' UNION ALL
SELECT 59, '50 to 59' UNION ALL
SELECT 60, '60 to 69' UNION ALL
SELECT 61, '60 to 69' UNION ALL
SELECT 62, '60 to 69' UNION ALL
SELECT 63, '60 to 69' UNION ALL
SELECT 64, '60 to 69' UNION ALL
SELECT 65, '60 to 69' UNION ALL
SELECT 66, '60 to 69' UNION ALL
SELECT 67, '60 to 69' UNION ALL
SELECT 68, '60 to 69' UNION ALL
SELECT 69, '60 to 69' UNION ALL
SELECT 70, '70 to 79' UNION ALL
SELECT 71, '70 to 79' UNION ALL
SELECT 72, '70 to 79' UNION ALL
SELECT 73, '70 to 79' UNION ALL
SELECT 74, '70 to 79' UNION ALL
SELECT 75, '70 to 79' UNION ALL
SELECT 76, '70 to 79' UNION ALL
SELECT 77, '70 to 79' UNION ALL
SELECT 78, '70 to 79' UNION ALL
SELECT 79, '70 to 79' UNION ALL
SELECT 80, '80 to 89' UNION ALL
SELECT 81, '80 to 89' UNION ALL
SELECT 82, '80 to 89' UNION ALL
SELECT 83, '80 to 89' UNION ALL
SELECT 84, '80 to 89' UNION ALL
SELECT 85, '80 to 89' UNION ALL
SELECT 86, '80 to 89' UNION ALL
SELECT 87, '80 to 89' UNION ALL
SELECT 88, '80 to 89' UNION ALL
SELECT 89, '80 to 89' UNION ALL
SELECT 90, '90 to 99' UNION ALL
SELECT 91, '90 to 99' UNION ALL
SELECT 92, '90 to 99' UNION ALL
SELECT 93, '90 to 99' UNION ALL
SELECT 94, '90 to 99' UNION ALL
SELECT 95, '90 to 99' UNION ALL
SELECT 96, '90 to 99' UNION ALL
SELECT 97, '90 to 99' UNION ALL
SELECT 98, '90 to 99' UNION ALL
SELECT 99, '90 to 99' UNION ALL
SELECT 100, '100 to 109' UNION ALL
SELECT 101, '100 to 109' UNION ALL
SELECT 102, '100 to 109' UNION ALL
SELECT 103, '100 to 109' UNION ALL
SELECT 104, '100 to 109' UNION ALL
SELECT 105, '100 to 109' UNION ALL
SELECT 106, '100 to 109' UNION ALL
SELECT 107, '100 to 109' UNION ALL
SELECT 108, '100 to 109' UNION ALL
SELECT 109, '100 to 109' UNION ALL
SELECT 110, '110 to 119' UNION ALL
SELECT 111, '110 to 119' UNION ALL
SELECT 112, '110 to 119' UNION ALL
SELECT 113, '110 to 119' UNION ALL
SELECT 114, '110 to 119' UNION ALL
SELECT 115, '110 to 119' UNION ALL
SELECT 116, '110 to 119' UNION ALL
SELECT 117, '110 to 119' UNION ALL
SELECT 118, '110 to 119' UNION ALL
SELECT 119, '110 to 119'
)
SELECT condition,
       year,
       age_group,
       gender,
       COUNT(*) AS count_value
  FROM (
SELECT p.person_id,
       c1.concept_name AS condition,
       YEAR(ce.condition_era_start_date ) AS year,
       c2.concept_name AS gender,
       YEAR(ce.condition_era_start_date ) - p.year_of_birth AS age,
       aag.age_grp AS age_group
  FROM cdm.condition_era ce
  JOIN cdm.concept c1
    ON c1.concept_id = ce.condition_concept_id
  JOIN cdm.person p
    ON p.person_id = ce.person_id
  JOIN cdm.concept c2
    ON c2.concept_id = p.gender_concept_id
  JOIN age_age_grp aag
    ON aag.age = YEAR(ce.condition_era_start_date ) - p.year_of_birth
       ) TMP
 GROUP BY condition,year,age_group,gender
 ORDER BY condition,year,age_group,gender;"
CE05 Conditions that are seasonally dependent,"WITH asthma AS (
SELECT DISTINCT c2.concept_id AS snomed_asthma
  FROM cdm.concept c1
  JOIN cdm.concept_relationship cr
    ON c1.concept_id = cr.concept_id_1
   AND cr.relationship_id = 'Maps to'
  JOIN cdm.concept c2
    ON cr.concept_id_2 = c2.concept_id
  JOIN cdm.concept_ancestor ca
    ON ca.ancestor_concept_id = c2.concept_id   
 WHERE c1.concept_code LIKE '493.0%'
)
SELECT season, COUNT(*) AS cases
  FROM (
SELECT CASE WHEN MONTH(ce.condition_era_start_date) IN (12,1,2)
            THEN 'Winter'

            WHEN MONTH(ce.condition_era_start_date) IN (3,4,5)
            THEN 'Spring'

            WHEN MONTH(ce.condition_era_start_date) IN (6,7,8)
            THEN 'Summer'

            WHEN MONTH(ce.condition_era_start_date) IN (9,10,11)
            THEN 'Fall'
       END AS season
  FROM cdm.condition_era ce
  JOIN asthma a
    ON a.snomed_asthma = ce.condition_concept_id
       ) TMP
 GROUP BY season;"
CE06 Conditions most likely to result in death,"SELECT concept_name, COUNT(*) as conditions_count
FROM  (
SELECT d.person_id, c.concept_name
  FROM cdm.death d
  JOIN cdm.condition_era ce
    ON ce.person_id = d.person_id
   AND DATEDIFF(d,ce.condition_era_end_date,d.death_date) <= 30
  JOIN cdm.concept c
    ON c.concept_id = ce.condition_concept_id
       ) TMP
GROUP BY concept_name
ORDER BY conditions_count DESC;"
CE07 Comorbidities of patient with condition,"WITH snomed_diabetes AS (
SELECT ca.descendant_concept_id AS snomed_diabetes_id
  FROM cdm.concept c
  JOIN cdm.concept_ancestor ca
    ON ca.ancestor_concept_id = c.concept_id
 WHERE c.concept_code = '73211009'
),  people_with_diabetes AS (
SELECT ce.person_id,
       MIN(ce.condition_era_start_date) AS onset_date
  FROM cdm.condition_era ce
  JOIN snomed_diabetes sd
    ON sd.snomed_diabetes_id = ce.condition_concept_id
 GROUP BY ce.person_id
), non_diabetic AS (
SELECT person_id,
       condition_concept_id,
       condition_era_start_date
  FROM cdm.condition_era
 WHERE condition_concept_id NOT IN (SELECT snomed_diabetes_id FROM snomed_diabetes)
)
SELECT c.concept_name AS comorbidity,
       COUNT(DISTINCT diabetic.person_id) AS frequency        
  FROM people_with_diabetes diabetic
  JOIN non_diabetic comorb
    ON comorb.person_id = diabetic.person_id
   AND comorb.condition_era_start_date > diabetic.onset_date
  JOIN cdm.concept c
    ON c.concept_id = comorb.condition_concept_id
 GROUP BY c.concept_name
 ORDER BY frequency DESC;"
CE08 Number of comorbidity for patients with condition,"-- Limiting to one month and one year for performance purposes
WITH snomed_diabetes AS (
SELECT ca.descendant_concept_id AS snomed_diabetes_id
  FROM cdm.concept c
  JOIN cdm.concept_ancestor ca
    ON ca.ancestor_concept_id = c.concept_id
 WHERE c.concept_code = '73211009'
),  people_with_diabetes AS (
SELECT ce.person_id,
       MIN(ce.condition_era_start_date) AS onset_date
  FROM cdm.condition_era ce
  JOIN snomed_diabetes sd
    ON sd.snomed_diabetes_id = ce.condition_concept_id
 WHERE YEAR(ce.condition_era_start_date) = 2008
   AND MONTH(ce.condition_era_start_date) = 1
 GROUP BY ce.person_id
), non_diabetic AS (
SELECT person_id,
       condition_concept_id,
       condition_era_start_date
  FROM cdm.condition_era
 WHERE condition_concept_id NOT IN (SELECT snomed_diabetes_id FROM snomed_diabetes)
   AND YEAR(condition_era_start_date) = 2008
   AND MONTH(condition_era_start_date) = 1
), comorbidities_by_person AS (
SELECT diabetic.person_id,
       COUNT(DISTINCT comorb.condition_concept_id) AS comorbidities         
  FROM people_with_diabetes diabetic
  JOIN non_diabetic comorb
    ON comorb.person_id = diabetic.person_id
   AND comorb.condition_era_start_date > diabetic.onset_date
  JOIN cdm.concept c
    ON c.concept_id = comorb.condition_concept_id
 GROUP BY diabetic.person_id
), ordered_data AS (
SELECT comorbidities,
       DENSE_RANK()OVER(ORDER BY comorbidities) order_nr,
       MIN(comorbidities)OVER() AS min_value,
       MAX(comorbidities)OVER() AS max_value,
       AVG(comorbidities)OVER() AS avg_value
  FROM comorbidities_by_person
)
SELECT min_value,max_value,avg_value,
       MIN(CASE WHEN order_nr < .25 * max_value THEN 999999999999 ELSE comorbidities END) AS pct_25,
       MIN(CASE WHEN order_nr < .50 * max_value THEN 999999999999 ELSE comorbidities END) AS median,
       MIN(CASE WHEN order_nr < .75 * max_value THEN 999999999999 ELSE comorbidities END) AS pct_75
  FROM ordered_data
 GROUP BY min_value,max_value,avg_value;"
